        infile    m100M4l0.1_75b1_100L5000g500B625_2500    m100M4l0.1_15b1_100L5000g500B625_2500    m100M4l0.1_45b1_100L5000g500B625_2500    m100M4l0.1_25b1_100L5000g500B625_2500    m100M4l0.1_55b1_100L5000g500B625_2500    m100M4l0.1_85b1_100L5000g500B625_2500    m100M4l0.1_35b1_100L5000g500B625_2500    m100M4l0.1_95b1_100L5000g500B625_2500    m100M4l0.1_65b1_100L5000g500B625_2500    m100M4l0.1_75b1_10L5000g500B62_250    m100M4l0.1_75b1_5L5000g500B31_125    m100M4l0.1_75b1_50L5000g500B312_1250    m100M4l0.1_75b1_25L5000g500B156_625    m150M4l0.1_75b1_100L5000g500B625_2500    m200M4l0.1_75b1_100L5000g500B625_2500    m100M4l0.1_75b1_1L5000g500B12_50    m100M4l0.1_75b1_100L5000g100B625_2500    m200M4l0.1_75b1_100L5000g500B1250_5000    m100M4l0.1_75b1_100L5000g50B625_2500    m100M4l0.1_75b1_100L5000g10B625_2500    m100M4l0.1_75b1_100L7500g500B625_2500    m100M4l0.1_75b1_1L5000g500B12_50    m100M4l0.1_75b1_100L500g500B625_2500    m100M4l0.1_75b1_100L2500g500B625_2500    m100M8l0.1_75b1_100L5000g500B312_1250    m100M16l0.1_75b1_100L5000g500B156_625    m100M2l0.1_75b1_100L5000g500B1250_5000    m100M4l0.1_75b1_100L5000g500B625_2500    m100M4l0.1_75b1_100L5000g500B625_2500    m100M4l0.1_75b1_100L5000g500B625_2500
       nstage1 &                                      5 &                                      5 &                                      5 &                                      5 &                                      5 &                                      5 &                                      5 &                                      5 &                                      5 &                                   5 &                                  5 &                                     5 &                                    5 &                                      5 &                                      5 &                                 1 &                                      5 &                                       5 &                                     5 &                                     5 &                                      5 &                                 3 &                                     5 &                                      5 &                                      5 &                                      5 &                                       5 &                                      5 &                                      5 &                                      5
       nstagek &                                      3 &                                      3 &                                      3 &                                      3 &                                      3 &                                      3 &                                      3 &                                      3 &                                      3 &                                   3 &                                  3 &                                     3 &                                    3 &                                      3 &                                      3 &                                 3 &                                      3 &                                       3 &                                     3 &                                     3 &                                      3 &                                 3 &                                     3 &                                      3 &                                      3 &                                      3 &                                       3 &                                      3 &                                      3 &                                      3
      NSVCRuns &                                      2 &                                      2 &                                      2 &                                      2 &                                      2 &                                      2 &                                      2 &                                      2 &                                      2 &                                   2 &                                  2 &                                     2 &                                    2 &                                      2 &                                      2 &                                 2 &                                      2 &                                       2 &                                     2 &                                     2 &                                      2 &                                 2 &                                     2 &                                      2 &                                      2 &                                      2 &                                       2 &                                      4 &                                      8 &                                      1
       timemax &                                1.8e+03 &                                1.8e+03 &                                1.8e+03 &                                1.8e+03 &                                1.8e+03 &                                1.8e+03 &                                1.8e+03 &                                1.8e+03 &                                1.8e+03 &                             1.8e+03 &                            1.8e+03 &                               1.8e+03 &                              1.8e+03 &                                1.8e+03 &                                1.8e+03 &                           1.8e+03 &                                1.8e+03 &                                 1.8e+03 &                               1.8e+03 &                               1.8e+03 &                                1.8e+03 &                           1.8e+03 &                               1.8e+03 &                                1.8e+03 &                                1.8e+03 &                                1.8e+03 &                                 1.8e+03 &                                1.8e+03 &                                1.8e+03 &                                1.8e+03
   %timebreaks &                                   0.05 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0.05 &                                 0.1 &                                0.2 &                                   0.1 &                                  0.1 &                                  0.263 &                                  0.263 &                              0.05 &                                   0.55 &                                     0.4 &                                  0.65 &                                   0.7 &                                      0 &                              0.35 &                                 0.176 &                                  0.158 &                                      0 &                                    0.1 &                                     0.1 &                                   0.05 &                                   0.05 &                                   0.05
          %err &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0.05 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                              0.15 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
          %opt &                                   0.95 &                                      1 &                                      1 &                                      1 &                                      1 &                                      1 &                                      1 &                                  0.938 &                                   0.95 &                                 0.9 &                                0.8 &                                   0.9 &                                  0.9 &                                  0.737 &                                  0.737 &                               0.8 &                                   0.45 &                                     0.6 &                                  0.35 &                                   0.3 &                                      1 &                              0.65 &                                 0.824 &                                  0.842 &                                      1 &                                    0.9 &                                     0.9 &                                   0.95 &                                   0.95 &                                   0.95
          nadm &                                     20 &                                     20 &                                     20 &                                     20 &                                     20 &                                     20 &                                     20 &                                     16 &                                     20 &                                  20 &                                 20 &                                    20 &                                   20 &                                     19 &                                     19 &                                20 &                                     20 &                                      20 &                                    20 &                                    20 &                                     20 &                                20 &                                    17 &                                     19 &                                     20 &                                     20 &                                      20 &                                     20 &                                     20 &                                     20
   nstages_ave &                                   18.3 &                                   0.25 &                                   1.55 &                                    0.1 &                                   5.75 &                                   29.5 &                                   0.05 &                                   21.9 &                                   36.8 &                                20.6 &                               56.8 &                                  41.4 &                                 33.7 &                                   69.5 &                                   25.3 &                                 7 &                                    131 &                                    19.8 &                                   185 &                                    95 &                                    7.1 &                              16.9 &                                  76.3 &                                    114 &                                     12 &                                   28.9 &                                    75.3 &                                   16.2 &                                   15.6 &                                   19.6
    nstagesmax &                                    235 &                                      2 &                                     15 &                                      2 &                                     78 &                                    506 &                                      1 &                                    254 &                                    384 &                                 157 &                                531 &                                   382 &                                  451 &                                    220 &                                    109 &                                63 &                                    533 &                                      87 &                                   614 &                                   299 &                                     30 &                               124 &                                   388 &                                    802 &                                     72 &                                    403 &                                     511 &                                    232 &                                    225 &                                    236
